SortChem,Site,Date,Time_hr_dst,Depth_m,Distance_km,Elevation_m,Description_Treatment,Catsort,water_type,Temp_C,Cond_uS,pH,Alk_ueqL,PCO2_uatm,PCH4_uatm,CO2_uM,CH4_uM,DOC_uM,NH4_uM,PO4_uM,NO3_uM,TDN_uM,TDP_uM,PC_ugL,PN_ugL,PP_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM,SO4_uM,Cl_uM,Oxygen_mgL,Chla_ugL,Phaeopigment_ugL,Chla_Raw_ugL,secchi_m,Thaw_depth_cm,5cm_Soil_tempC,10cm_Soil_tempC,Well_height_cm,Discharge_Lsec,Stage_cm
2011-0553,Toolik Inlet,24-Jun-11,10:20,0.01,.,719,.,LTER-LW,ST,12.1,82.4,7.67,736,.,.,.,.,288,0.222,0.0223,2.84,12.7,.,153,39.1,0.1,350.5,67.4,16.9,6.24,11.8,.,.,.,0.7,0.3,0.8,.,.,.,.,.,.,43.9
2011-0555,TW Weir,24-Jun-11,11:38,0.01,.,761,.,LTER-LW,ST,4.1,9.4,4.38,9,.,.,.,.,971,0.355,0.0387,0.0764,25,.,191,25.7,0.1,22.7,13.5,4.7,0.399,45.9,.,.,.,.,.,.,.,.,.,.,.,.,16.5
2011-0557,Toolik Outlet,24-Jun-11,11:57,0.01,.,719,.,LTER-LW,ST,12.8,81.9,6.5,696,.,.,.,.,392,0.24,0.0347,0.0717,12.7,.,325,47.5,0.1,335.4,69.3,14,7.58,27.3,.,.,.,2.3,0.7,2.4,.,.,.,.,.,.,.
2011-0637,Toolik Inlet,30-Jun-11,4:50,0.01,.,719,Toolik Inlet RE 01,LTER-LW,ST,.,.,.,795,.,.,.,.,289,.,0.0327,3.4,11.7,.,210,11.8,0.1,377.2,73.3,19.3,6,12.7,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0638,I8 Inlet,1-Jul-11,10:15,0.01,.,744,.,LTER-LW,ST,8.2,142.1,7.94,1327,.,.,.,.,295,0.199,0.055,4.65,14.4,.,285,106,.,633.1,135.9,23.1,4.1,9.5,.,.,.,0,2.7,1.4,.,.,.,.,.,.,14
2011-0639,I8 Outlet,1-Jul-11,11:05,0.01,.,744,.,LTER-LW,ST,14,63.1,7.48,554,.,.,.,.,336,0.116,0.0235,0.0562,11.8,.,.,.,.,271.6,55.5,11.9,6.26,7.7,.,.,.,2.3,1.5,2.8,.,.,.,.,.,.,33
2011-0640,Toolik Outlet,1-Jul-11,11:51,0.01,.,719,.,LTER-LW,ST,11.4,79.7,7.93,697,.,.,.,.,388,0.158,0.0179,0.1,12.6,.,456,66,0.2,343.7,70.9,14.3,7.55,25.4,.,.,.,0.1,3.3,1.7,.,.,.,.,.,.,.
2011-0652,Toolik Inlet,5-Jul-11,9:30,0.01,.,719,.,LTER-LW,ST,10.8,91.1,7.37,823,.,.,.,.,279,0.227,0.0233,3.4,11.6,.,150,27,0.1,396.1,76.3,19.9,6.29,15.1,.,.,.,0.7,0.4,0.8,.,.,.,.,.,.,43.3
2011-0657,I8 Inlet,8-Jul-11,10:00,0.01,.,744,.,LTER-LW,ST,12.3,152.2,7.81,1412,.,.,.,.,293,0.171,0.0366,4.8,15,.,203,56.1,.,668.9,142.7,24.2,4.32,14.9,.,.,.,0.8,0.4,0.9,.,.,.,.,.,.,15.5
2011-0658,I8 Outlet,8-Jul-11,11:00,0.01,.,744,.,LTER-LW,ST,15.4,69.6,7.62,590,.,.,.,.,341,0.235,0.0159,0.0486,12.2,.,360,43.6,.,119.8,22.4,5.2,2.59,1.4,.,.,.,1,0.4,1.1,.,.,.,.,.,.,34
2011-0659,Toolik Outlet,8-Jul-11,11:16,0.01,.,719,.,LTER-LW,LA,14.1,79,7.21,682,.,.,.,.,389,0.119,0.0317,0.0572,11.4,.,266,33.9,0.1,345.4,71.5,14.2,7.49,24.2,.,.,.,0.8,0.4,1,.,.,.,.,.,.,.
2011-0774,Toolik Inlet,15-Jul-11,9:30,0.01,.,719,.,LTER-LW,ST,11.5,95.6,7.45,844,.,.,.,.,271,0.21,0.0272,3.7,14.4,.,179,18.6,0.1,404.1,78.6,21.8,5.82,17.1,.,.,.,0.7,0.4,0.8,.,.,.,.,.,.,45.1
2011-0776,TW Weir,15-Jul-11,10:30,0.01,.,761,.,LTER-LW,ST,4.5,9.5,5.17,5,.,.,.,.,870,0.298,0.0339,0.0104,22.3,.,68,8.57,0,50.2,17.8,2,0.284,48,.,.,.,.,.,.,.,.,.,.,.,.,19.5
2011-0778,Toolik Outlet,15-Jul-11,11:17,0.01,.,719,.,LTER-LW,LA,14.7,79.6,6.14,689,.,.,.,.,376,0.246,0.0288,0.0513,12.4,.,350,77.3,0.1,370.4,30.9,7.5,2.76,8.1,.,.,.,1.4,0.4,1.4,.,.,.,.,.,.,.
2011-0810,Toolik Inlet,17-Jul-11,16:01,0.01,.,719,Toolik Inlet RE 02,LTER-LW,ST,.,.,.,775,.,.,.,.,280,0.257,0.0179,1.86,10.1,.,227,23.5,.,390.7,76.1,26.8,6.16,14,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0813,I8 Inlet,22-Jul-11,9:49,0.01,.,744,.,LTER-LW,ST,9.9,127,8.12,1157,.,.,.,.,393,0.226,0.0871,0.309,12.5,.,198,40.2,.,552.2,121.1,21.1,3.45,20.7,.,.,.,0.8,0.4,0.9,.,.,.,.,.,.,21
2011-0814,I8 Outlet,22-Jul-11,10:38,0.01,.,744,.,LTER-LW,ST,14.5,84.6,7.77,737,.,.,.,.,329,0.11,0.0229,0.0797,10.3,.,339,56.1,.,360.8,73.8,16.5,5.52,11.8,.,.,.,1.7,0.5,1.8,.,.,.,.,.,.,39.5
2011-0815,Toolik Outlet,22-Jul-11,11:01,0.01,.,719,.,LTER-LW,ST,14.4,80.3,7.9,694,.,.,.,.,373,0.178,0.0217,0.035,11.9,.,267,43.1,0.1,345.9,70.8,14.6,7.47,22.5,.,.,.,1.1,0.3,1.1,.,.,.,.,.,.,.
2011-0818,I8 Inlet,29-Jul-11,10:05,0.01,.,744,.,LTER-LW,ST,11.6,156.9,8.03,1489,.,.,.,.,332,0.147,0.0269,1.61,12.2,.,432,38.1,.,682.1,146.6,25.8,4.49,17.9,.,.,.,0.8,0.5,1,.,.,.,.,.,.,17
2011-0819,I8 Outlet,29-Jul-11,10:50,0.01,.,744,.,LTER-LW,ST,15.3,91.3,7.93,819,.,.,.,.,324,0.204,0.0293,0.0397,11.1,.,346,41.5,.,390.8,81.1,17.4,5.17,12.9,.,.,.,1.7,0.4,1.7,.,.,.,.,.,.,35
2011-0820,Toolik Outlet,29-Jul-11,10:55,0.01,.,719,.,LTER-LW,ST,15.1,80.7,7.55,728,.,.,.,.,373,0.174,0.047,0.0432,10.1,.,340,65.4,0.1,349.8,71.2,14.8,7.38,22.5,.,.,.,0.9,0.4,1,.,.,.,.,.,.,.
2011-0949,I8 Inlet,5-Aug-11,9:55,0.01,.,744,.,LTER-LW,ST,9.8,156.7,7.99,1490,.,.,.,.,.,0.326,0.0354,1.66,14.3,.,195,33.1,.,686.3,149.5,25.6,4.43,26.4,.,.,.,0.7,0.4,0.8,.,.,.,.,.,.,19
2011-0950,I8 Outlet,5-Aug-11,10:40,0.01,.,744,.,LTER-LW,ST,13.8,97.4,7.97,880,.,.,.,.,323,0.283,0.0339,0.0396,10.4,.,383,40.2,.,416.5,87.2,17.9,4.88,14.7,.,.,.,1.4,0.8,1.6,.,.,.,.,.,.,36
2011-0951,Toolik Outlet,5-Aug-11,10:46,0.01,.,719,.,LTER-LW,ST,14.2,82.4,7.87,733,.,.,.,.,376,0.189,0.0363,0.00398,12.9,.,319,43.1,0.1,355.7,72.2,14.8,7.35,22.7,.,.,.,1,0.3,1.1,.,.,.,.,.,.,.
2011-0952,Toolik Inlet,30-Jul-11,20:43,0.01,.,719,Toolik Inlet RE 03,LTER-LW,ST,.,.,.,963,.,.,.,.,277,0.626,0.0305,2.52,11.3,.,277,54.8,0.2,450.6,89,20.7,5.97,19.6,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0953,Toolik Inlet,1-Aug-11,20:43,0.01,.,719,Toolik Inlet RE 04,LTER-LW,ST,.,.,.,941,.,.,.,.,284,0.431,0.0664,2.41,12,.,273,36.2,0.1,439.1,86,19.8,5.94,18.9,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-0968,Toolik Outlet,12-Aug-11,11:16,0.01,.,719,.,LTER-LW,ST,12.3,83.2,7.59,723,.,.,.,.,357,0.141,0.019,0.0314,11.6,.,292,33.8,0.1,353.9,72.8,15.1,7.37,22.5,.,.,.,1.1,0.4,1.2,.,.,.,.,.,.,.
2011-0969,Toolik Inlet,12-Aug-11,9:50,0.01,.,719,.,LTER-LW,ST,10.4,117.1,7.5,1075,.,.,.,.,266,0.126,0.0315,4.3,12.6,.,139,9.51,0.1,508.6,99.4,22.8,5.58,20.2,.,.,.,0.6,0.3,0.7,.,.,.,.,.,.,42.7
2011-1001,TW Weir,16-Aug-11,17:55,0.01,.,761,.,LTER-LW,ST,3.9,14.3,5.61,22,.,.,.,.,836,.,.,0.314,23.8,.,.,.,0.5,55.2,31.9,12.6,0.831,111.7,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-6001,Toolik Inlet,1-Jun-11,16:40,0.01,.,719,.,LTER-LW,ST,5.5,45.5,5.27,397,.,.,.,.,485,0.296,0.0366,2.03,13.6,.,280,39.6,0.1,196.9,41.5,8.2,8.07,22.1,.,.,.,0.5,0.2,0.5,.,.,.,.,.,.,54.9
2011-6002,TW Weir,1-Jun-11,15:45,0.01,.,761,.,LTER-LW,ST,2.8,10.2,3.94,12,.,.,.,.,1254,1.29,0.0477,0.0364,27.9,.,576,51.1,0.2,21.8,12.8,5.8,4.29,19.2,.,.,.,.,.,.,.,.,.,.,.,.,.
2011-6030,Toolik Inlet,8-Jun-11,14:48,0.01,.,719,.,LTER-LW,ST,9.8,58,7.5,513,.,.,.,.,388,0.092,0.0317,1.39,11.5,.,145,26.2,0.1,252.8,50.7,10.7,6.88,18.2,.,.,.,0.4,0.2,0.5,.,.,.,.,.,.,47.5
2011-6036,Toolik Inlet,11-Jun-11,10:16,0.01,.,719,.,LTER-LW,ST,8.5,63.8,6.74,557,.,.,.,.,369,0.377,0.023,1.65,10,.,95,13.2,0,273.2,54.7,20.4,6.64,16.5,.,.,.,0.1,0.4,0.3,.,.,.,.,.,.,45.1
